depth,damage
0,94.28625041
0.25,273.80651
0.5,458.1317825
0.75,644.0624991
1,785.5525088
1.25,878.5434807
1.5,960.7257855
1.75,1021.25847
2,1075.871522
2.25,1118.171863
2.5,1160.841907
2.75,1191.418016
3,1226.124669
